gene_name	significant	logpval	difference	tstat
Fam212a	NA	1.33026	0.691952	1.9037
Tiam1	+	2.24338	0.69177	2.77181
Rnf115	+	2.07705	0.691647	2.61865
Celsr2	NA	0.544256	0.69136	1.01905
Mgst3	NA	0.699678	0.69133	1.2171
Cnp	+	2.124	0.691314	2.66152
Adrbk2	NA	0.931194	0.691176	1.48495
Fam32a	+	1.82897	0.691065	2.38632
Tex264	+	2.82408	0.69087	3.29081
Trmt61a	NA	0.540757	0.690423	1.01416
D830025C05Rik	+	1.6941	0.689735	2.25695
Wipi2	+	1.73665	0.689094	2.29673
Grk4	NA	0.514256	0.689075	0.978014
COX3	NA	0.980024	0.688736	1.5373000000000001
Zfp668	NA	1.05466	0.688367	1.61731
Aldh4a1	+	1.47477	0.687397	2.04304
Ccdc173	NA	1.04196	0.686903	1.60299
Atp8a1	+	2.02696	0.686478	2.56506
Catsperd	NA	0.423124	0.686325	0.848413
Arhgap17	NA	1.31061	0.685818	1.87937
Gm15800	+	1.73625	0.685813	2.2927
Rap1b	+	3.11108	0.685526	3.52611
Maml3	+	2.03426	0.685184	2.56998
Mcur1	+	1.94405	0.685065	2.48641
Ranbp6	+	1.43938	0.684735	2.00608
Slc12a7	NA	0.5302	0.68472	0.998749
Fktn	NA	1.29914	0.684467	1.86686
Gm28551	NA	0.533142	0.683831	1.00252
Ergic3	NA	1.29981	0.683037	1.86647
Lamp2	+	2.3715	0.682979	2.87304
Ift172	NA	0.809372	0.682426	1.34387
Ube3b	+	1.37308	0.682222	1.93873
Anapc7	NA	0.96838900000000006	0.681539	1.52108
Dclre1c	NA	0.775374	0.681103	1.30393
Hsd17b11	+	2.9209	0.681093	3.35206
Lamb3	NA	0.338985	0.68062	0.718671
Zfand1	NA	0.95177	0.680153	1.50231
Irgm2	NA	0.43337	0.679965	0.862412
Tm2d1	NA	1.03372	0.678925	1.58987
Syne4	+	2.22027	0.678783	2.72989
Trim7	NA	0.430886	0.678546	0.858566
Vcpip1	+	2.07103	0.67854	2.59416
Xlr4c	+	1.76101	0.678175	2.30732
Map4k1	NA	1.26728	0.678153	1.83024
Rbfa	+	1.53561	0.677918	2.0933
Fau	+	3.0007	0.677892	3.41238
6330408A02Rik	NA	0.788427	0.677548	1.3178
Med16	NA	1.20315	0.677424	1.76491
Arhgap28	NA	0.910376	0.677403	1.45559
Mbtd1	+	3.82714	0.676604	4.0823
Ankrd44	+	1.99178	0.676338	2.51861
Tekt5	NA	0.786948	0.676134	1.31555
Tmcc3os	NA	0.786948	0.676134	1.31555
Saa3	NA	1.03529	0.67606	1.58995
Zfp316	+	1.64668	0.675746	2.19702
Sergef	NA	0.622464	0.675504	1.11678
B2m	NA	1.23526	0.67515	1.79585
Gm43064	NA	0.303092	0.67479	0.659477
Gprasp1	NA	0.608463	0.67406	1.09865
Irf2bp2	NA	1.23146	0.673249	1.79069
Fech	NA	1.20831	0.672538	1.7668
Spns3	+	2.02135	0.672519	2.54022
Jakmip1	+	2.0969	0.671775	2.60759
3010003L21Rik	NA	0.823338	0.671654	1.35557
Pan3	+	2.26112	0.671513	2.75454
Pkd2l2	NA	0.518267	0.67111	0.979743
Rab3gap2	+	1.57741	0.671042	2.12651
Pex1	NA	1.23165	0.670775	1.78912
Sgsm2	+	1.50256	0.670424	2.05448
Map2k3	+	1.4003	0.670417	1.95565
Amer1	+	1.71118	0.669607	2.25093
Rnpc3	+	3.55004	0.669394	3.83983
Cc2d1a	+	2.53116	0.669136	2.98823
Kat5	+	2.22558	0.668802	2.71834
1700084C06Rik	NA	0.471382	0.668717	0.914738
2310047D07Rik	NA	0.471382	0.668717	0.914738
Nckap1l	+	2.1994	0.668659	2.69475
Acaa2	+	2.27479	0.668621	2.7618
Plec	+	2.52709	0.667976	2.98236
Rfx2	NA	1.1687	0.667736	1.72336
Sco2	NA	1.17645	0.667508	1.73108
Tnrc6b	+	2.158	0.667208	2.65544
Csad	NA	1.19439	0.666972	1.74889
Trim25	+	2.80158	0.666899	3.21629
Wbp1l	+	1.73689	0.666658	2.27148
Kctd21	NA	0.671608	0.666141	1.17504
Fam207a	NA	0.890209	0.666111	1.42812
2310035C23Rik	+	1.74031	0.665917	2.27379
Elf4	+	1.99033	0.665808	2.50255
Erlec1	+	1.56535	0.665502	2.10952
Ptpra	+	3.35579	0.66542	3.67188
Dnajc7	+	2.18908	0.665103	2.67978
Galnt4	NA	1.29528	0.664925	1.8482
Gm26917	+	1.53729	0.664613	2.08204
Chd4	+	1.84206	0.664566	2.36591
Intu	NA	0.966587	0.664331	1.5104
Fam160b2	NA	1.17074	0.664315	1.72314
Gripap1	NA	1.24253	0.664178	1.79526
Adck1	+	1.39897	0.663893	1.94878
Fam134c	+	1.70333	0.663648	2.23686
Supt6	+	1.38112	0.663385	1.93104
Nek9	+	1.74911	0.663016	2.27853
Zfp692	NA	0.893011	0.662877	1.42971
Eif3f	+	1.83283	0.662667	2.35506
Wdr12	+	1.92709	0.662255	2.44035
Hars2	+	2.5811	0.662012	3.01695
Gm20324	NA	0.628544	0.661769	1.12057
Adcy7	+	1.83905	0.661557	2.35934
Stx17	+	1.64441	0.661407	2.17952
4930480K23Rik	NA	0.882477	0.661352	1.41739
E130018N17Rik	+	1.96744	0.66113	2.47529
Gm42567	NA	0.544256	0.66096	1.01219
Mtmr11	NA	0.544256	0.66096	1.01219
Scn4a	NA	0.544256	0.66096	1.01219
Gm13139	NA	0.544256	0.66096	1.01219
Zcchc6	+	2.11925	0.660572	2.61044
Hexb	NA	1.09881	0.660268	1.64703
Xiap	+	3.50026	0.660183	3.77035
Cyba	+	2.80747	0.660103	3.20537
Nol4l	NA	1.03609	0.660078	1.58179
Zfp788	+	1.86785	0.659544	2.38298
Btg1	+	2.02993	0.659392	2.52894
Bnip3l	+	2.31752	0.659387	2.78334
Cdk17	+	2.79555	0.659159	3.19311
9330175E14Rik	NA	0.676821	0.659049	1.17915
Zfp808	NA	0.504818	0.659042	0.958952
Ncoa4	NA	1.03423	0.658924	1.57918
Tada2b	NA	1.00789	0.658625	1.55132
Zfp865	+	1.66216	0.65837	2.19271
D230017M19Rik	NA	0.99527	0.658225	1.53775
Plcl2	+	1.79355	0.658049	2.31336
Zc3h3	+	1.44835	0.657852	1.99093
Itprip	+	1.40191	0.657536	1.94609
Klhl11	NA	0.640385	0.657522	1.13405
2310040G24Rik	NA	0.519112	0.657516	0.977929
Mob2	+	1.47516	0.657475	2.01615
Kdm6b	+	1.45473	0.656939	1.99618
Zfp655	+	1.64584	0.656894	2.17594
Mat2a	NA	1.02727	0.656843	1.57069
Tom1l2	+	2.04381	0.65658	2.53717
2210008F06Rik	NA	1.07087	0.655942	1.61555
Kat6b	+	3.00211	0.655903	3.35692
Slc35a5	NA	0.283181	0.655444	0.624179
Rps20	NA	1.17353	0.65495	1.71958
Mier2	+	1.82015	0.654771	2.33349
Fbxl20	+	1.4454	0.654635	1.98516
Ttll1	+	1.89958	0.653392	2.4035
Kif3a	+	1.59482	0.65302	2.12431
Adam33	NA	0.735626	0.652977	1.24715
Btd	NA	0.549232	0.652672	1.01676
Serhl	+	2.27552	0.65266	2.73481
1700055D18Rik	NA	0.419026	0.652049	0.836968
Syk	+	1.90872	0.651626	2.40931
Wdr44	+	1.44412	0.651464	1.98102
BC025920	NA	0.878652	0.650948	1.40836
Pqlc2	NA	0.936166	0.650779	1.47076
Ccdc93	+	3.0649	0.650552	3.39389
Aldoart2	NA	0.392374	0.649998	0.797275
Gm31805	NA	0.613966	0.649982	1.09896
Iqcd	NA	0.561648	0.649982	1.03228
Atp9b	+	1.86896	0.649837	2.37119
Ilk	NA	1.14536	0.649194	1.68728
Smad3	+	2.0354	0.649007	2.51835
Ubxn6	+	3.92789	0.648821	4.05319
Smim19	+	1.47666	0.648508	2.00905
Arf5	+	1.51613	0.648321	2.04597
Zc2hc1a	+	1.50814	0.647796	2.03796
Klhl26	NA	1.24768	0.647591	1.78799
Rbm48	NA	0.920386	0.647464	1.45209
Sft2d3	+	3.41607	0.647219	3.66271
Pla2g15	+	1.96469	0.647092	2.4529
Pmm2	NA	1.26761	0.647042	1.80711
Btbd9	NA	1.03789	0.646903	1.57597
Napsa	+	2.72184	0.646792	3.1027
Dand5	NA	0.767844	0.64649	1.28207
Orai3	NA	0.900321	0.6461	1.4297
Asb10	NA	0.487665	0.646075	0.932828
Atp6v0b	+	2.47584	0.645771	2.89391
Znhit6	NA	1.07701	0.645697	1.61555
Rprd2	+	1.94769	0.645201	2.43511
Fam63a	NA	0.5961	0.645182	1.07512
Vps11	+	1.46811	0.644378	1.99702
Fam219a	NA	0.401785	0.644283	0.810393
Mrps36	NA	0.383459	0.644227	0.78303
Man2b1	NA	0.882521	0.644023	1.40932
1810010D01Rik	NA	0.317247	0.643954	0.679566
Nqo1	NA	0.886651	0.643692	1.41366
Rnf169	NA	0.968876	0.64321	1.50163
Zswim4	NA	0.324545	0.643139	0.691258
Zc3h12c	NA	0.693045	0.643137	1.19336
Traf3ip3	+	1.88181	0.642967	2.37343
Zfp68	NA	1.26355	0.642483	1.79958
C330021F23Rik	NA	0.492272	0.642238	0.938311
Zfp629	+	1.77935	0.6422	2.28069
Gm26739	NA	0.384295	0.642194	0.783987
Agfg2	+	1.47174	0.64207	1.99821
Tcrg-C4	+	1.58985	0.641359	2.10724
Itpripl2	+	4.11889	0.640977	4.15698
Slc35f3	NA	0.438933	0.640652	0.863701
Hbp1	NA	1.17189	0.640405	1.70776
Crebbp	+	2.33026	0.640342	2.75969
Noc3l	+	2.36094	0.64034	2.78579
Supt5	+	1.94277	0.640209	2.42362
Xpa	+	1.82332	0.639963	2.31724
Apobec3	NA	1.20549	0.639789	1.74058
Sugp2	+	1.90649	0.639535	2.39061
Kmt2c	+	2.12608	0.639483	2.58278
Acadvl	+	2.47287	0.639423	2.87859
Scamp2	+	3.0403	0.639043	3.34271
Npb	NA	0.530771	0.638939	0.989173
Rps19	+	4.76716	0.6387	4.56897
Tvp23b	+	1.42635	0.638671	1.95231
Eif3h	+	1.518	0.638392	2.03772
Trp53inp1	NA	0.741864	0.638302	1.24893
Borcs8	+	1.60758	0.638239	2.12012
Cdsn	NA	0.840325	0.638236	1.36026
Cass4	NA	0.392825	0.637879	0.796092
Pemt	NA	0.895569	0.637653	1.42038
Snx15	+	1.5869	0.637546	2.1004
Kif3b	NA	1.17525	0.637528	1.70903
Gpatch3	NA	0.524508	0.637316	0.980505
B4galt1	+	1.55202	0.636901	2.06763
Zfp933	NA	0.285632	0.636895	0.626589
Gm14302	NA	0.544256	0.63689	1.00637
Slc25a37	+	1.83075	0.636549	2.31936
2900076A07Rik	NA	0.393877	0.636443	0.797433
Heatr6	+	2.43666	0.636203	2.84171
Smarca2	+	3.20389	0.635841	3.46258
AC104325.1	NA	0.4891	0.635164	0.932475
9930104L06Rik	+	2.14782	0.634883	2.59395
Gm26533	NA	0.380777	0.634873	0.777598
Top3b	+	1.9706	0.634401	2.43961
Pafah2	+	2.62968	0.634263	2.99804
Tmem170	NA	0.309543	0.634164	0.665946
Rpl27-ps3	NA	0.927669	0.633985	1.45296
AW146154	NA	0.788675	0.633948	1.30068
Hectd1	+	2.56358	0.633593	2.94204
Rbks	NA	1.02651	0.633178	1.556
Efcab2	NA	0.488387	0.633165	0.931072
Efnb3	NA	0.454335	0.632677	0.883963
Col4a3bp	NA	1.14343	0.632636	1.67396
Gm29113	NA	0.366842	0.632155	0.75608
Edrf1	+	2.26573	0.632015	2.68959
Ocrl	NA	0.965883	0.631615	1.49208
Mkl2	+	1.61327	0.631091	2.11734
Dusp3	+	1.73322	0.630788	2.22502
Trp53cor1	NA	0.77649	0.629713	1.28513
Ascc2	NA	0.834404	0.629693	1.34981
Lzts2	NA	1.06925	0.629257	1.59721
Ehbp1l1	NA	1.19805	0.629212	1.72538
Zfhx3	NA	1.32557	0.629125	1.84834
Ikzf5	+	1.39852	0.629027	1.91716
Terf2ip	NA	1.03501	0.628873	1.5621
Ascc1	+	1.73708	0.628519	2.22564
Stoml1	NA	1.34388	0.628366	1.86505
Zfp157	NA	0.895822	0.627799	1.41571
Ncoa2	+	1.84605	0.627689	2.32094
Spopl	+	1.56879	0.627619	2.07304
Afmid	NA	0.699476	0.627452	1.19543
Ap4m1	NA	0.953114	0.627191	1.47622
Tmem229b	NA	0.982768	0.626936	1.50706
Phkg2	NA	1.1475	0.626359	1.67356
Acadsb	+	1.93313	0.626159	2.39484
Rad52	NA	1.03467	0.625656	1.55975
Tpgs1	+	2.20951	0.625036	2.62956
Epb41	+	2.20344	0.624713	2.62387
Atxn3	+	1.99357	0.624683	2.44492
Isoc2b	NA	1.14396	0.624335	1.66861
Snx14	NA	1.04859	0.623833	1.57278
Klhdc1	NA	0.840193	0.623819	1.35344
Cd79b	NA	0.907687	0.623639	1.42625
Plod1	+	1.39752	0.623548	1.91111
Pfdn5	+	2.09311	0.62329	2.52794
Ubn2	+	2.22883	0.623157	2.64247
Ptger1	NA	0.368465	0.622458	0.75714
Dedd2	+	1.50265	0.622426	2.00714
Limk2	+	2.22419	0.622225	2.6369
Nhej1	NA	0.738386	0.622214	1.23865
Fgd3	NA	1.33936	0.621984	1.85514
Zhx2	NA	0.935189	0.62185	1.45443
Ccdc120	NA	0.725522	0.621712	1.22364
B230307C23Rik	+	2.18495	0.621205	2.60212
Ranbp17	NA	0.687951	0.619956	1.17915
Fam83e	NA	0.25928	0.618793	0.579861
Gm9465	NA	0.810938	0.618628	1.31885
Vat1	+	2.06783	0.618342	2.49835
Epx	NA	0.709032	0.617968	1.20309
Hnrnpf	+	2.85172	0.617149	3.13536
Dnpep	NA	1.21575	0.616867	1.73306
1810030O07Rik	+	3.83255	0.616814	3.86048
Atxn1	+	3.12622	0.616729	3.3463
Fam120aos	NA	0.36303	0.616328	0.747969
B020031H02Rik	NA	0.310357	0.616297	0.665244
Itga6	+	1.42519	0.616263	1.92977
Zbtb12	+	1.66103	0.616038	2.14265
Zfp600	NA	0.465097	0.615708	0.895461
Slc25a38	NA	0.451738	0.615456	0.876906
Phf11c	NA	0.607956	0.6149	1.08106
Tmem80	+	1.40609	0.61457	1.91051
Ctps2	+	1.6846	0.614448	2.16157
Atg7	NA	1.10659	0.614418	1.62464
Dynlt3	+	1.57488	0.614003	2.06343
Zfat	NA	0.396607	0.613995	0.797811
Pcf11	+	2.36448	0.613893	2.73744
Med12	NA	1.36094	0.613476	1.86761
Mettl8	+	2.17974	0.613448	2.58407
Ccdc134	NA	1.2091	0.613366	1.7239
Spr	NA	0.749705	0.613339	1.24798
Nkiras1	+	1.75215	0.613237	2.21935
Arrdc1	+	2.7828	0.613123	3.07105
N6amt1	+	1.98924	0.613051	2.42321
Coa4	NA	0.923605	0.612701	1.43722
Kat8	NA	1.14405	0.612605	1.66021
Zfp219	+	2.04583	0.612474	2.47018
Gm19325	NA	1.20277	0.611987	1.71672
Tsga10ip	NA	1.03913	0.611772	1.55548
Ankrd10	NA	1.00373	0.61175	1.51958
Kazn	+	1.69354	0.611557	2.16584
Poll	NA	1.01521	0.611523	1.53111
Asl	+	1.53588	0.611333	2.02544
Il16	NA	1.15808	0.611282	1.67291
Ralgps2	NA	0.552637	0.611277	1.01051
Zfp276	NA	1.14366	0.611149	1.65875
Mien1	+	1.66723	0.611127	2.14215
Camkk1	NA	0.327412	0.611013	0.691924
Gm33989	+	2.1464	0.610777	2.55161
Lppr2	NA	0.513333	0.61075	0.959314
Phf23	+	1.4111	0.610597	1.91126
Filip1	NA	0.578304	0.610462	1.04282
Kmt2a	+	4.05982	0.61044	3.98772
Marf1	NA	1.09614	0.610417	1.61151
Lrrcc1	+	3.35284	0.609279	3.49206
Kif9	NA	0.366755	0.609092	0.752539
Nfyc	NA	0.945536	0.608995	1.45805
Gm15406	NA	0.361026	0.608926	0.74382
Adprhl2	+	1.41229	0.608901	1.91068
Gm28424	NA	0.375014	0.608721	0.764917
R3hcc1	+	1.76663	0.608604	2.22581
Atf5	NA	0.848323	0.60835	1.35481
Kmt2b	NA	0.864757	0.608197	1.37241
Fam46a	NA	0.794483	0.607859	1.29576
Olfr1251	NA	0.653461	0.606384	1.13345
Itga10	NA	0.730179	0.606379	1.2229
Themis	NA	0.363159	0.605432	0.746535
Rc3h2	+	2.13356	0.6052	2.5312
Frrs1	+	3.44563	0.605133	3.5452
Colq	NA	0.603083	0.604773	1.0719
Rmnd1	NA	0.821588	0.604566	1.32397
Wars2	+	1.55508	0.604453	2.03495
Taf1a	+	2.19016	0.603849	2.57544
Dhrs11	NA	0.527736	0.603513	0.976326
Ptges	NA	0.446598	0.603209	0.867239
39692	+	2.46547	0.602439	2.79528
Cox7a2l	NA	1.12527	0.602159	1.63419
Grina	NA	1.24517	0.602096	1.74908
Zbtb26	NA	0.8179	0.601927	1.31869
Fmn2	NA	0.532249	0.601487	0.981641
Wdr78	NA	0.861125	0.601478	1.36508
Mier1	+	1.76203	0.601416	2.21217
Abcc10	NA	0.757552	0.601299	1.25173
Atp1a3	+	2.68782	0.601224	2.96746
Snw1	+	2.23558	0.601196	2.60767
Dnah10	NA	0.443487	0.601142	0.86248
Glis1	NA	0.443487	0.601142	0.86248
Vamp1	+	1.91949	0.600127	2.34429
Rsu1	+	1.90133	0.599875	2.32861
Mtmr3	+	2.62398	0.599083	2.91263
Slc36a2	NA	0.839957	0.598559	1.34091
Mon1b	NA	0.610187	0.598528	1.07861
Pecr	NA	1.10732	0.598278	1.61385
Lztfl1	NA	0.758381	0.598003	1.25122
Gm45447	NA	0.437855	0.597482	0.853862
Zmynd12	NA	1.07021	0.597367	1.5768
Slc25a26	NA	0.875309	0.597298	1.37797
Txlna	NA	1.08445	0.59671	1.59034
Ric8b	NA	1.08445	0.596453	1.59016
Spata1	NA	0.501765	0.596292	0.94046
Gm47438	NA	0.323022	0.596228	0.683052
Snhg20	+	1.48534	0.596113	1.96354
Amn	NA	0.301564	0.596039	0.648588
Rpgrip1	NA	0.433593	0.595939	0.847573
Uqcrh	+	1.71096	0.595775	2.16071
Rbbp6	+	2.06689	0.595655	2.45972
Abhd10	NA	0.572019	0.594803	1.03031
Gm29539	NA	0.304204	0.594737	0.652719
Fbxl3	NA	1.3635	0.594478	1.85196
Jade3	NA	0.713033	0.594287	1.1984
Zfp943	NA	1.0426	0.594177	1.5473
Chd9	+	2.47623	0.594149	2.78576
Irf1	NA	0.627689	0.593385	1.09809
Trrap	NA	1.2653	0.593336	1.7604
Serpinb6a	NA	0.772966	0.592971	1.26519
Cd3eap	NA	1.26273	0.592709	1.75746
Rab11b	+	1.67934	0.592496	2.12923
Mtg2	+	1.55287	0.591975	2.01867
Ankib1	+	3.07963	0.591952	3.23801
Gm44067	NA	0.304004	0.591794	0.652039
Zc3h4	NA	1.0451	0.591528	1.54797
Dmxl2	NA	1.38468	0.591352	1.86813
Ankrd39	NA	1.04108	0.591248	1.54381
Adgre1	NA	0.775162	0.591209	1.26681
Tmbim4	+	2.28625	0.590854	2.62853
Git1	NA	1.36598	0.590803	1.85063
Slu7	+	2.65605	0.590512	2.91684
Reep2	NA	0.544256	0.589653	0.993788
Ly6g5b	NA	0.544256	0.589653	0.993788
Lin37	NA	1.00463	0.589269	1.50621
Zfp282	NA	1.34903	0.589136	1.8336
Rab2b	NA	1.3174	0.589079	1.80466
Bcl9l	+	1.78408	0.589043	2.21387
Adi1	NA	1.38069	0.588997	1.86217
Bbs9	NA	1.28119	0.588554	1.77087
Ciart	NA	0.505588	0.588393	0.943496
Zfp866	+	1.61279	0.587959	2.06607
Zfp846	NA	1.13716	0.587793	1.63484
Ctso	NA	0.543016	0.587768	0.99167400000000006
Hs1bp3	+	1.51714	0.587275	1.98187
Fam73b	NA	1.04221	0.586993	1.542
Gm16194	NA	0.420237	0.586982	0.826943
Pwp2	NA	1.1006	0.586688	1.5988
Herpud1	+	2.7479	0.586346	2.97614
Ube2i	+	1.82089	0.586174	2.24069
Bptf	+	2.91238	0.58558	3.09669
Zfp191	+	1.99427	0.585407	2.38293
9230112J17Rik	NA	0.378496	0.58535	0.766256
Znfx1	NA	1.38001	0.585195	1.85774
Sphk2	NA	0.879635	0.584996	1.37585
Tgfb3	NA	0.378027	0.5847	0.765451
Palld	NA	0.22522	0.584598	0.516684
Unc45a	NA	0.913739	0.584487	1.41098
Hic2	NA	0.857343	0.584083	1.35193
Hps1	NA	1.35837	0.58399	1.83702
Gm14703	NA	0.347344	0.583807	0.719158
Letmd1	NA	1.27845	0.583779	1.764
Fchsd2	+	2.15954	0.583431	2.51312
Kctd7	NA	0.685024	0.583352	1.16187
Mospd1	NA	0.247704	0.583193	0.55652
Foxn3	+	2.52267	0.582957	2.79665
Ercc6	NA	0.946158	0.582289	1.44284
Tnpo2	NA	1.04649	0.581931	1.54268
Zfp110	+	2.14409	0.581796	2.49774
Cacnb1	NA	1.1977	0.581704	1.68726
C530008M17Rik	+	2.39618	0.58148	2.69571
Scaf1	NA	1.20251	0.580974	1.69114
Zfp667	NA	0.928781	0.580972	1.42434
Prkcg	NA	0.331514	0.580742	0.694268
Dhx33	NA	1.31543	0.580398	1.79464
Smap2	NA	1.43612	0.579514	1.90187
Tchp	+	1.47972	0.579394	1.94013
Clstn3	+	1.56748	0.579108	2.0161
Rae1	+	3.10102	0.579067	3.21432
Rundc1	NA	1.28907	0.578832	1.76916
Kirrel3os	NA	0.280624	0.578807	0.612163
Slc24a5	NA	0.959846	0.578532	1.45435
Farsa	NA	0.735922	0.578258	1.21744
Gm43936	NA	0.413356	0.578218	0.815442
Rab11fip1	NA	1.10074	0.57790300000000006	1.59234
CYTB	NA	0.592536	0.577873	1.05031
Urb1	NA	0.517583	0.577816	0.956298
Magee1	NA	0.484534	0.577447	0.91294
Zbtb22	NA	1.02575	0.577377	1.51915
C8g	NA	0.657122	0.577258	1.12713
1700017B05Rik	NA	1.26964	0.577011	1.74972
Zfp937	NA	0.265967	0.576872	0.587338
Ticam1	NA	0.856739	0.576753	1.34733
Ccnl2	+	2.83012	0.5765	3.01112
Hic1	+	2.46584	0.576321	2.738
6430550D23Rik	NA	0.320376	0.576217	0.67618
AC153140.2	NA	0.776161	0.57609	1.26082
Enthd2	NA	0.613561	0.575887	1.07508
Gm43154	NA	0.498358	0.575512	0.930677
Coro1b	+	1.68441	0.575337	2.11092
Ncdn	NA	0.732963	0.575259	1.21281
Rap1gap2	NA	0.628747	0.575003	1.09289
Tmem167b	NA	0.586399	0.574945	1.04186
Rbak	NA	0.39818	0.57492	0.793095
Lgals3	NA	0.931619	0.574862	1.42352
Traf2	NA	0.747672	0.57471	1.22889
Celf6	NA	0.34133	0.574618	0.708546
Zfp768	NA	1.11035	0.574413	1.59885
Alkbh7	+	1.69518	0.574347	2.11864
Ppwd1	NA	1.1129	0.573854	1.60085
Zfp109	NA	0.477564	0.573787	0.902758
BC034090	NA	0.477564	0.573787	0.902758
Rbm8a2	NA	0.393641	0.573724	0.786317
Dpy19l1	NA	1.23129	0.573599	1.71144
Mios	NA	0.972869	0.573242	1.46401
Ash1l	+	2.53731	0.573132	2.78488
Frmd4a	NA	1.3541	0.572954	1.82215
Abca4	NA	0.832628	0.5723	1.31953
Abt1	+	1.59772	0.572225	2.03349
Bclaf1	+	1.9863	0.571104	2.35249
Mark2	+	2.14717	0.570662	2.47942
Rapgefl1	NA	0.749851	0.570143	1.22919
Ankmy2	NA	1.09704	0.569514	1.58238
Ftx	NA	0.54226	0.569012	0.985238
Pias3	NA	0.954115	0.568564	1.44224
Zfp469	NA	1.43604	0.568083	1.88933
Ovol1	NA	0.522638	0.567751	0.959975
Gm39318	NA	0.522638	0.567751	0.959975
Hist1h4a	NA	0.522638	0.567751	0.959975
Thra	NA	1.45991	0.56731	1.90923
Cdhr5	NA	0.663695	0.565867	1.13032
Abhd14b	+	1.82351	0.565768	2.21235
Sft2d2	+	2.16487	0.565529	2.48346
Insr	NA	1.11375	0.565269	1.5949
Esam	NA	0.481106	0.564897	0.905219
Lrrc27	NA	0.420487	0.564248	0.822626
Crisp2	NA	0.448648	0.563514	0.861339
Plekhg2	NA	0.336446	0.563153	0.699287
Dctn1	+	2.23269	0.563086	2.53108
Gm11685	NA	0.620957	0.562905	1.07925
Gm14051	+	1.98941	0.562783	2.34072
Tyw1	+	2.43372	0.562529	2.68245
Zfp438	NA	0.827994	0.562218	1.30923
Fgd2	NA	1.05984	0.561455	1.54072
Adap1	NA	0.801907	0.561434	1.28123
Sap30bp	+	1.68947	0.561267	2.09586
Mphosph9	NA	0.834717	0.561197	1.31573
Pex11a	+	1.9786300000000001	0.561093	2.32926
H3f3a	NA	1.26304	0.561086	1.72885
Myo1e	NA	0.582578	0.561042	1.03256
Cotl1	NA	1.18952	0.560951	1.66184
3110001I22Rik	NA	0.462649	0.560374	0.879504
Acot13	NA	1.41003	0.560152	1.85793
Gak	NA	1.39104	0.559839	1.84104
Cacng7	NA	0.398534	0.559747	0.790646
Rpl13	NA	1.25885	0.559492	1.72357
Zfp65	NA	0.727053	0.559343	1.19905
Chd5	NA	0.394431	0.559255	0.784673
Wdr13	NA	0.751349	0.558858	1.2255
Ttc3	+	3.3844	0.55883	3.34105
Zkscan6	NA	1.19689	0.558306	1.66626
Zfp451	+	2.75939	0.558247	2.91022
Coa7	NA	0.627283	0.558201	1.08496
BC049762	NA	0.50208	0.557961	0.930787
Rasgrp1	NA	0.50208	0.557961	0.930787
Mtrf1l	NA	0.717421	0.557765	1.18767
Prkce	NA	0.99826	0.557447	1.47835
Tab1	NA	0.594783	0.557442	1.04606
Slc9a6	NA	0.971891	0.557297	1.45243
Nfrkb	+	1.74572	0.557166	2.13613
Mga	+	3.29422	0.556477	3.27328
Acer3	NA	0.752322	0.55617	1.22526
Ate1	+	2.57787	0.556115	2.77369
Tbx1	NA	1.00825	0.556073	1.48708
B3gat3	NA	1.27479	0.555416	1.73393
Sirt5	NA	0.374737	0.555061	0.755331
0610009O20Rik	NA	0.888721	0.55493	1.36779
Inpp5f	NA	0.463708	0.554674	0.879503
1700008J07Rik	NA	0.917904	0.554574	1.39702
Zfp346	NA	0.547952	0.554252	0.987801
4930515G01Rik	NA	0.261951	0.554128	0.578118
Tnrc18	NA	1.30101	0.55367	1.75551
Uhmk1	+	2.51446	0.553669	2.72144
Ptafr	NA	0.25764	0.553549	0.570737
ND2	NA	1.28703	0.55265	1.7421
Glcci1	NA	0.533094	0.55231	0.968641
Smad5	+	1.55251	0.552219	1.97
Map3k11	NA	0.614833	0.55212	1.06801
Mgmt	NA	0.702888	0.551542	1.16869
Clec16a	NA	1.44839	0.55153	1.88121
9430060I03Rik	NA	0.463316	0.550864	0.878017
Ip6k1	NA	1.47706	0.550843	1.90478
Prkra	+	1.99931	0.550561	2.327
Gramd4	NA	0.5718	0.550237	1.01579
Rplp2	+	2.95697	0.549941	3.02474
Sap30l	NA	0.861802	0.549727	1.33722
Yeats4	NA	0.895585	0.549428	1.37135
Tgs1	+	1.61865	0.549293	2.02102
Gm19557	NA	0.40843	0.54923	0.802506
St3gal1	NA	0.490335	0.548854	0.913038
Dnajc24	NA	0.43929	0.548786	0.845126
Tbkbp1	+	1.74418	0.548656	2.12226
Fnip1	NA	1.03453	0.54864	1.50689
Ggt1	NA	0.609657	0.548457	1.06053
Herc6	NA	1.02252	0.548317	1.49517
Hormad2	NA	0.451354	0.548175	0.861318
Aoc3	NA	0.451354	0.548175	0.861318
Ppp4r1	NA	0.929541	0.548135	1.40448
Rrp36	+	1.53587	0.547723	1.95038
Atat1	NA	0.514969	0.547638	0.944338
Cspp1	+	2.08978	0.547613	2.39123
Ccndbp1	NA	0.694032	0.547469	1.15699
Zfp113	+	1.66837	0.547213	2.05882
Nr2c2	NA	1.26749	0.547125	1.71931
3830406C13Rik	+	1.73805	0.546848	2.11463
